,Values,,,,,,,,,
Row Labels,Revenue PER COUNTRY,Sum of Cost,Sum of Profit,,,,,,,
United States,32.81%,"$16,901,903.0","$11,073,644.0",,,,,,,
Alabama,0.00%,$105.00,$105.00,,,,,,,
Arizona,0.01%,"$5,100.00","$4,279.00",,,,,,,
California,20.73%,"$9,899,751.00","$7,772,869.00",,,,,,,
Florida,0.01%,"$6,314.00","$4,700.00",,,,,,,
Georgia,0.01%,"$2,915.00","$1,947.00",,,,,,,
Illinois,0.02%,"$11,535.00","$8,606.00",,,,,,,
Kentucky,0.00%,"$1,540.00","$2,216.00",,,,,,,
Massachusetts,0.00%,"$2,532.00","$1,552.00",,,,,,,
Minnesota,0.00%,"$1,238.00",$228.00,,,,,,,
Mississippi,0.00%,"$1,362.00",$322.00,,,,,,,
Missouri,0.00%,$733.00,"$1,006.00",,,,,,,
Montana,0.00%,$857.00,"$1,148.00",,,,,,,
New York,0.01%,"$2,755.00","$2,502.00",,,,,,,
North Carolina,0.00%,$186.00,$219.00,,,,,,,
Ohio,0.01%,"$4,340.00","$5,407.00",,,,,,,
Oregon,4.05%,"$2,192,242.00","$1,258,168.00",,,,,,,
South Carolina,0.00%,$720.00,$521.00,,,,,,,
Texas,0.01%,"$4,313.00","$2,522.00",,,,,,,
Utah,0.00%,"$2,442.00","$1,595.00",,,,,,,
Virginia,0.00%,$555.00,$617.00,,,,,,,
Washington,7.91%,"$4,743,960.00","$1,997,550.00",,,,,,,
Wyoming,0.03%,"$16,408.00","$5,565.00",,,,,,,
Australia,24.98%,"$14,526,029.00","$6,776,030.00",,,,,,,
New South Wales,10.79%,"$6,069,811.00","$3,133,684.00",,,,,,,
Queensland,5.94%,"$3,447,109.00","$1,619,158.00",,,,,,,
South Australia,1.64%,"$972,435.00","$424,839.00",,,,,,,
Tasmania,0.68%,"$409,861.00","$170,323.00",,,,,,,
Victoria,5.93%,"$3,626,813.00","$1,428,026.00",,,,,,,
United Kingdom,12.49%,"$6,232,343.00","$4,413,853.00",,,,,,,
England,12.49%,"$6,232,343.00","$4,413,853.00",,,,,,,
Germany,10.53%,"$5,618,601.00","$3,359,995.00",,,,,,,
Bayern,1.57%,"$765,294.00","$576,691.00",,,,,,,
Brandenburg,0.20%,"$98,418.00","$71,352.00",,,,,,,
Hamburg,1.83%,"$942,506.00","$616,499.00",,,,,,,
Hessen,2.43%,"$1,259,989.00","$813,402.00",,,,,,,
Nordrhein-Westfalen,2.12%,"$1,157,143.00","$647,757.00",,,,,,,
Saarland,2.38%,"$1,395,251.00","$634,294.00",,,,,,,
France,9.89%,"$5,552,590.00","$2,880,282.00",,,,,,,
Charente-Maritime,0.12%,"$60,047.00","$46,000.00",,,,,,,
Essonne,1.14%,"$579,684.00","$393,848.00",,,,,,,
Garonne (Haute),0.22%,"$110,959.00","$72,947.00",,,,,,,
Hauts de Seine,1.10%,"$573,003.00","$364,137.00",,,,,,,
Loir et Cher,0.10%,"$49,772.00","$32,761.00",,,,,,,
Loiret,0.38%,"$206,681.00","$118,491.00",,,,,,,
Moselle,0.31%,"$166,547.00","$99,676.00",,,,,,,
Nord,1.55%,"$859,107.00","$465,545.00",,,,,,,
Pas de Calais,0.06%,"$31,701.00","$18,712.00",,,,,,,
Seine (Paris),1.93%,"$1,132,112.00","$511,167.00",,,,,,,
Seine et Marne,0.44%,"$259,070.00","$114,215.00",,,,,,,
Seine Saint Denis,1.33%,"$775,907.00","$355,727.00",,,,,,,
Somme,0.12%,"$69,980.00","$32,199.00",,,,,,,
Val de Marne,0.11%,"$66,624.00","$26,822.00",,,,,,,
Val d'Oise,0.17%,"$98,549.00","$49,746.00",,,,,,,
Yveline,0.81%,"$512,847.00","$178,289.00",,,,,,,
Canada,9.31%,"$4,218,442.00","$3,717,296.00",,,,,,,
Alberta,0.07%,"$33,453.00","$23,350.00",,,,,,,
British Columbia,9.24%,"$4,184,542.00","$3,693,348.00",,,,,,,
Ontario,0.00%,$447.00,$598.00,,,,,,,
(blank),0.00%,,,,,,,,,
(blank),0.00%,,,,,,,,,
Grand Total,100.00%,"$53,049,908.00","$32,221,100.00",,,,,,,
